Brand_name,PostID,PostLink,ImageLink,Publication_date,user_handle,Caption,#likes,#comments
#gucci,CtmoYtPv6M5,https://www.instagram.com/p/CtmoYtPv6M5/,https://www.instagram.com/p/CtmoYtPv6M5/media?size=l,2023-06-17 19:42:15+00:00,@handsome.styless,😳@harrystyles #harrystyles #harrystylesedit #harrystylesvideos #onedirection #loveontour #pleasing #fineline #golden #gucci #fashion #hs #1d #zayn #harrystylesedits #harryshouse #asitwas #hslot,"2,454",10
#gucci,CtoRFkDNh9z,https://www.instagram.com/p/CtoRFkDNh9z/,https://www.instagram.com/p/CtoRFkDNh9z/media?size=l,2023-06-18 10:57:08+00:00,@soldoutserviceitaly,"Con l’aumentare delle temperature e la partenza della stagione estiva, ritornano i temporary store in località turistiche. E se è vero che siamo solo all’inizio dell’estate, anche il fenomeno stagionale, che vede i temi marittimi e balneari al centro della comunicazione nel mondo luxury e fashion, si sta sviluppando, con spiagge e iniziative dedicate ⛱️","4,418",10
#gucci,CtnxntdMKgD,https://www.instagram.com/p/CtnxntdMKgD/,https://www.instagram.com/p/CtnxntdMKgD/media?size=l,2023-06-18 06:25:30+00:00,@iloveu.hs,THE JACKET AAAAHHHH!!!!! “H. Styles” 🤏 harry with a member of the crew before the show today! 😮‍💨,"1,602",6
#gucci,CtoiOd5hVBc,https://www.instagram.com/p/CtoiOd5hVBc/,https://www.instagram.com/p/CtoiOd5hVBc/media?size=l,2023-06-18 13:26:54+00:00,@becky_stylee,Becky DestinyxFreenBecky 🧸🫶🏼💖#beckysangels #srchafreen #FreenBeck #Freenky #freenbecky #ฟรีนเบค #เบคกี้ #เบคกี้อาร์มสตรอง #เบคกี้รีเบคก้า #คนของเบค #DestinyxFreenBecky #gucci #louisvuitton #larobe8,892,2
#gucci,Ctj4oVbIVK6,https://www.instagram.com/p/Ctj4oVbIVK6/,https://www.instagram.com/p/Ctj4oVbIVK6/media?size=l,2023-06-16 18:06:28+00:00,@mylovelyviews,"""Working On This..""Made With The Aid Of AI#elle#harpersbazaar#glamour#dior#ysl#gucci#prada#agquarantine #instyle#cosmopolitan#gqmagazine#vanityfair#marieclaire#alluremagazine#floatmagazine#dreamermagazine#lucysmagazine#fashionbeans#fashionunited#interia#agquarantine #vipphotomagazine #cashcaro #fibre2fashion#tosumup#vogue#lovelyviewsmagazine#gofeminin#aifashion","2,721",16
#gucci,CtqwDF6Pq23,https://www.instagram.com/p/CtqwDF6Pq23/,https://www.instagram.com/p/CtqwDF6Pq23/media?size=l,2023-06-19 10:06:10+00:00,@weoneshop.jkt,Gg po japan saleFor price or more detail dm me ♥️#ggslingbag#gucciphonebag#tasgucci#tasguccioriginal#ggmarmont#guccijapan#guccijapanexclusive#baggucci#gucci#balenciaga#balenciahashoes#jamgucci#gucciswatch#jamguccioriginal,0,0
#gucci,CtqwA_-vYW-,https://www.instagram.com/p/CtqwA_-vYW-/,https://www.instagram.com/p/CtqwA_-vYW-/media?size=l,2023-06-19 10:05:52+00:00,@weoneshop.jkt,Gg po japan saleFor price or more detail dm me ♥️#ggslingbag#gucciphonebag#tasgucci#tasguccioriginal#ggmarmont#guccijapan#guccijapanexclusive#baggucci#gucci#balenciaga#balenciahashoes#jamgucci#gucciswatch#jamguccioriginal,0,0
#gucci,CtqwBeGRVjE,https://www.instagram.com/p/CtqwBeGRVjE/,https://www.instagram.com/p/CtqwBeGRVjE/media?size=l,2023-06-19 10:05:56+00:00,@sns_trick.jp,◎SNSフォロワー/いいね販売中◎▼高品質ver.▼ |通常よりも減少率が低下 |プロフ投稿もしているリアルなフォロワー |PayPayでカンタン支払い◎ |入金から手配は原則24時間以内に開始 |総実績2000件越えのノウハウ |アカウント凍結等の報告なし |お問い合わせ/ご注文はDMまで！#自撮り女子 #ガールズバー #韓国ファッション #すすきの #難波 #フィットネス #キャバクラ #バルセロナグループ #メイク #ホストクラブ #地雷系 #ガルバ #推しのいる生活 #韓国 #美人 #ディズニー #ホスト #北新地 #相互フォロー #プチプラ #エースグループ #いぬすたぐらむ #いいね返し #ニュークラ #gucci #ユニバ #カフェ #chanel #ボブ #ネイル,0,0
#gucci,CtqwHDgueVQ,https://www.instagram.com/p/CtqwHDgueVQ/,https://www.instagram.com/p/CtqwHDgueVQ/media?size=l,2023-06-19 10:06:42+00:00,@worbekanbud5h8,"👜👓WHATS📞APP👉(Information on Homepage)please contact me. 100% integrity management,🎒💼free delivery of goods to all over the world,PayPal secure transaction,I am your best choice, I am very happy to do businesswith you, and look forward to your consultation#gucci#guccimane#guccibag#guccishoes#guccigang#guccibelt#makeup#blogger#woman#christmas#saints#grateful#carnival#glasses#style#luxury#fashionstyle#fashionblogger#fashionista#guccimarmont#guccisneakers#guccibags#guccilover#guccithailand#niketn#USA#f4f#cool#travel#smile",0,0
#gucci,CtqwAr7qXVX,https://www.instagram.com/p/CtqwAr7qXVX/,https://www.instagram.com/p/CtqwAr7qXVX/media?size=l,2023-06-19 10:05:50+00:00,@hillscarf,DIOR SERİSİ SİZLERLE 🤍••#dior #diorserisi #gucci #guccıserisi #fendi #fendiserisi #scarf,3,0
